Pregunta,Respuesta
"SOBRE NOVI Y ATENCIÓN AL CLIENTE"
"¿Qué es Novi y cómo puede ayudarme?","Novi es nuestro nuevo agente virtual de atención al cliente, potenciado por Inteligencia Artificial Generativa. Está disponible 24/7 para ayudarte a radicar, gestionar y resolver tus Peticiones, Quejas y Reclamos (PQR) en minutos, a través de nuestra App, portal web o en puntos de venta."
"¿Cómo puedo interactuar con Novi?","Puedes hablar con Novi de forma conversacional, como si chatearas con una persona. Escribe tu problema en lenguaje natural, por ejemplo: ""Mi pedido llegó incompleto"". Novi te entenderá y te guiará para resolverlo."
"¿Qué tipo de problemas puede resolver Novi?","Novi puede resolver la mayoría de las PQR comunes, como pedidos incompletos, seguimiento de garantías, estado de un envío, y más. Para casos muy complejos, Novi los derivará a un agente humano especializado para asegurar la mejor solución."
"¿Tengo que esperar en línea o en el teléfono para hablar con Novi?","No. Novi está diseñado para darte una respuesta instantánea y está disponible 24/7. Su objetivo es que puedas resolver tu PQR en menos de 3 minutos, sin filas ni esperas."
"¿Cómo puedo saber el estado de mi PQR con Novi?","Novi ofrece total transparencia y seguimiento en tiempo real. Puedes consultar el estado de tu caso en cualquier momento y recibirás notificaciones automáticas sobre cualquier avance, por ejemplo, vía WhatsApp."
"¿Es seguro compartir mis datos personales con Novi?","Sí. La seguridad de tu información es nuestra prioridad. Todos los datos se procesan en entornos seguros en la nube y cumplimos estrictamente con la Ley 1581 de protección de datos de Colombia."
"¿Qué diferencia hay entre el proceso de PQR anterior y el nuevo con Novi?","Antes, el proceso podía ser lento, con formularios difíciles de encontrar y sin visibilidad del estado de tu caso. Ahora, con Novi, es una experiencia conversacional, rápida, omnicanal y transparente, donde tienes el control y seguimiento de tu solicitud en todo momento."
"¿Novi reemplazará completamente a los agentes de servicio al cliente humanos?","No. Novi está diseñado para potenciar a nuestro equipo. Se encarga del 80% de los casos más simples, permitiendo que nuestros agentes humanos se especialicen en resolver los problemas más complejos que requieren un toque personal."
"¿Cómo accedo a Novi?","Puedes encontrar a Novi en nuestra App NovaMarket y en nuestro portal web novamarket.com/PQR. También está integrado en nuestros puntos de venta físicos para una experiencia omnicanal."
"¿Puedo adjuntar archivos o fotos al hablar con Novi?","Sí. Por ejemplo, si tienes un problema con la garantía de un producto, puedes subir una foto del número de serie directamente en la conversación con Novi para agilizar el proceso."
"MI CUENTA"
"¿Cómo me registro en NovaMarket?","Puedes crear tu cuenta fácilmente en nuestro sitio web o App. Haz clic en ""Registrarse"", completa los datos solicitados y ¡listo!."
"¿Es necesario estar registrado para comprar?","No es obligatorio registrarse para realizar una compra. Sin embargo, al registrarte podrás hacer seguimiento a tus pedidos, gestionar tus PQR con Novi de forma más ágil y guardar tus datos para futuras compras."
